numSample,x1_pix,y1_pix,x2_pix,y2_pix,laser_X_m,laser_Y_m,laser_Z_m,radar_X_m,radar_Y_m,radar_R_m,radar_A_deg,radar_D_mps,radar_P_db,dataset,index,Difficult
18,1078,494,1196,594,3.665020943,33.32995987,1.038656712,3.865988255,33.77848053,34.03352737,-6.5,16,13900127,RECORD@2020-11-21_13.44.44,26,0
18,815,498,1082,735,0.045091599,10.64054871,0.659916759,0.293506026,11.14626503,11.17816734,-1.600000024,236,32364614,RECORD@2020-11-21_13.44.44,26,0
18,1148,505,1320,642,3.910467148,21.38664627,0.955332816,3.848159075,21.72149277,22.15672493,-10,16,19165300,RECORD@2020-11-21_13.44.44,26,0
18,1497,481,1920,931,2.907895327,5.678619862,0.538199067,3.09514904,6.641537666,7.385574818,-26,16,10455453,RECORD@2020-11-21_13.44.44,26,0
37,641,526,697,568,-10.08414078,65.25014496,-0.065553486,-9.66550827,65.44424438,66.17076111,8.399999619,167,8354180,RECORD@2020-11-22_12.27.27,2,0
38,645,520,701,565,-8.775779724,57.68930817,0.595735729,-8.46949482,57.87329483,58.48576736,8.300000191,167,14992794,RECORD@2020-11-22_12.27.27,3,0
39,642,523,707,575,-7.670774937,49.99360275,0.036242783,-7.273423195,50.41752625,50.90058136,8.199999809,167,9243501,RECORD@2020-11-22_12.27.27,4,0
40,630,528,710,593,-6.746282101,42.56774521,0.08410275,-6.355233669,42.81710052,43.31539917,8.5,167,20767424,RECORD@2020-11-22_12.27.27,5,0
41,610,518,704,598,-5.834587097,35.00842667,0.137049466,-5.404653549,35.16560364,35.5306015,8.800000191,169,14916092,RECORD@2020-11-22_12.27.27,6,0
43,554,512,613,564,-11.88368988,58.2848587,0.762407184,-11.13408279,58.33086395,59.48381805,10.89999962,155,7327507.5,RECORD@2020-11-22_12.27.27,9,0
44,550,509,628,579,-8.528692245,42.6518631,0.657312274,-8.386574745,42.60607147,43.51500702,11.10000038,154,9154819,RECORD@2020-11-22_12.27.27,11,0
45,526,510,627,598,-7.387659073,34.51252747,0.50658673,-7.274938583,34.77199936,35.5306015,11.89999962,155,11911677,RECORD@2020-11-22_12.27.27,12,0
46,481,508,613,619,-6.379380703,26.76124763,0.550304115,-6.196831703,26.88621712,27.54619789,12.89999962,157,16712434,RECORD@2020-11-22_12.27.27,13,0
47,391,508,577,655,-5.426843643,18.87095833,0.445374221,-5.460751057,18.88347626,19.76140213,16,159,13352758,RECORD@2020-11-22_12.27.27,14,0
48,153,511,476,731,-4.886712551,10.99741936,0.448144972,-4.724759102,10.99100113,12.17621803,23.60000038,175,14762504,RECORD@2020-11-22_12.27.27,15,0
77,319,492,642,716,-3.592043877,11.41869926,0.594869733,-3.918021441,11.78081131,12.37582779,18.20000076,14,26992856,RECORD@2020-11-22_12.30.20,48,0
82,402,499,680,702,-3.355058908,13.14795494,0.604960024,-3.95706439,13.60029411,14.17231941,16.20000076,14,22633492,RECORD@2020-11-22_12.30.20,53,0
83,409,500,682,694,-3.44950676,13.46276188,0.638641894,-3.332773447,13.69164181,14.17231941,13.69999981,14,36882336,RECORD@2020-11-22_12.30.20,54,0
85,420,501,680,685,-3.508754492,14.05292034,0.615341663,-3.304808617,14.59876633,14.97075939,13.10000038,13,19601308,RECORD@2020-11-22_12.30.20,56,0
88,428,506,663,675,-3.958146572,15.82284737,0.645474374,-4.320985794,16.10723495,16.76725006,14.60000038,15,25977642,RECORD@2020-11-22_12.30.20,59,0
90,431,519,670,679,-4.078645706,16.46733284,0.481626272,-4.276335239,17.25384521,17.76530075,13.80000019,14,18337926,RECORD@2020-11-22_12.30.20,61,0
91,440,511,669,674,-4.09868145,16.78539085,0.488091409,-4.357686043,17.42783928,17.96491241,13.89999962,15,30260296,RECORD@2020-11-22_12.30.20,62,0
92,445,516,681,675,-4.115448952,17.05833817,0.485584646,-4.345206261,17.51337814,18.16452217,13.60000038,15,22601044,RECORD@2020-11-22_12.30.20,63,0
93,462,512,685,668,-4.089218616,17.47083092,0.540094972,-4.146651268,17.93699074,18.36413193,12.5,15,33631532,RECORD@2020-11-22_12.30.20,64,0
94,478,514,695,670,-4.044974327,17.7634697,0.491786093,-4.147357464,18.60324478,18.9629631,12.39999962,14,25864302,RECORD@2020-11-22_12.30.20,65,0
95,501,507,712,663,-3.932596922,18.15430641,0.449901313,-3.746273518,18.74222565,19.16257286,11.30000019,15,14494726,RECORD@2020-11-22_12.30.20,66,0
96,513,506,721,659,-3.866760731,18.54683304,0.51256758,-3.743731737,19.0151329,19.46198654,11.10000038,15,29977016,RECORD@2020-11-22_12.30.20,67,0
97,531,508,735,657,-3.739161253,18.89395714,0.69573617,-3.48890543,19.42854881,19.76140213,10.39999962,15,18758296,RECORD@2020-11-22_12.30.20,68,0
98,547,508,745,655,-3.614062071,19.30617714,0.703000426,-3.473715305,19.91119766,20.26042938,10.10000038,16,21847208,RECORD@2020-11-22_12.30.20,69,0
99,570,507,760,651,-3.427729368,19.6528759,0.708874822,-3.604489088,19.93618202,20.36023331,10.30000019,16,21490448,RECORD@2020-11-22_12.30.20,70,0
99,477,539,551,582,-14.95067787,59.86925125,0.484125376,-14.54676437,59.00532532,60.78128433,13.80000019,234,3206048.25,RECORD@2020-11-22_12.30.20,70,0
100,643,512,823,643,-2.790795803,21.46811104,0.737199664,-2.452916861,21.93635941,22.0569191,6.300000191,21,31128052,RECORD@2020-11-22_12.30.20,71,0
101,670,514,837,640,-2.580394506,21.91042328,0.517845392,-2.199500322,22.47925186,22.55594444,5.599999905,21,21070120,RECORD@2020-11-22_12.30.20,72,0
102,692,515,857,636,-2.37299037,22.47522736,0.754092216,-1.926051855,22.94791985,23.15477562,4.900000095,22,27939790,RECORD@2020-11-22_12.30.20,73,0
103,727,523,885,637,-2.009012699,23.44762421,0.463540643,-1.596328735,24.05505371,24.15282631,3.700000048,23,17070618,RECORD@2020-11-22_12.30.20,74,0
105,762,513,909,629,-1.700291157,24.46772957,0.596201777,-1.525832772,25.13174057,25.150877,3.400000095,22,19918876,RECORD@2020-11-22_12.30.20,76,0
106,775,512,919,626,-1.541712165,24.97724533,0.796822667,-1.254962444,25.49713898,25.55009651,2.799999952,21,30972974,RECORD@2020-11-22_12.30.20,77,0
107,789,510,921,620,-1.342955947,25.45827484,0.804087341,-0.972476602,26.08788681,26.14892769,2.099999905,21,42070400,RECORD@2020-11-22_12.30.20,78,0
109,812,526,942,628,-1.077867866,26.35760498,0.471917719,-0.801066399,26.90028763,26.94736671,1.700000048,20,27730176,RECORD@2020-11-22_12.30.20,80,0
110,822,518,949,621,-0.952305496,26.86848831,0.828324974,-0.645378232,27.39825439,27.44639206,1.299999952,20,18181306,RECORD@2020-11-22_12.30.20,81,0
